Fecha,Descripcion,Categoria,Monto
2026-01-02,Salario enero,Ingreso,2500.00
2026-01-03,Supermercado La Colonia,Alimentacion,-85.40
2026-01-04,Pago de renta,Vivienda,-650.00
2026-01-05,Netflix,Suscripciones,-12.99
2026-01-06,Gasolina,Transporte,-40.00
2026-01-07,Cena con amigos,Ocio,-35.50
2026-01-08,Farmacia,Salud,-22.10
2026-01-10,Freelance diseno logo,Ingreso,300.00
2026-01-11,Supermercado La Colonia,Alimentacion,-62.75
2026-01-12,Uber,Transporte,-15.30
2026-01-13,Internet mensual,Servicios,-45.00
2026-01-14,Gimnasio,Salud,-30.00
2026-01-15,Cine,Ocio,-18.00
2026-01-18,Reembolso compra,Ingreso,50.00
2026-01-19,Supermercado La Colonia,Alimentacion,
2026-01-20,Spotify,Suscripciones,-9.99
2026-01-21,Electricidad,Servicios,-58.20
2026-01-22,Ropa,Compras,-120.00
2026-01-25,Salario extra,Ingreso,400.00
2026-01-27,Restaurante,Alimentacion,-27.80
2026-01-28,Gasolina,Transporte,-38.50
2026-01-29,Libro,Compras,-14.99
2026-01-30,Ahorro mensual,Ahorro,-200.00
